"","X1","school","year","coaches","wins","talent","color","conference"
"1",1,"Boston College",2015,"Steve Addazio",3,"534.60","#88001a","ACC"
"2",2,"Boston College",2016,"Steve Addazio",7,"533.39","#88001a","ACC"
"3",3,"Boston College",2017,"Steve Addazio",7,"535.21","#88001a","ACC"
"4",4,"Boston College",2018,"Steve Addazio",7,"533.43","#88001a","ACC"
"5",5,"Boston College",2019,"Steve Addazio",6,"564.95","#88001a","ACC"
"6",6,"Oregon State",2015,"Gary Andersen",2,"544.66","#c34500","Pac-12"
"7",7,"Oregon State",2016,"Gary Andersen",4,"524.89","#c34500","Pac-12"
"8",8,"Oregon State",2017,"Gary Andersen, Cory Hall",1,"557.02","#c34500","Pac-12"
"9",NA,"Oregon State",2018,"Jonathan Smith",2,"535.36","#c34500","Pac-12"
"10",9,"Oregon State",2019,"Jonathan Smith",5,"595.50","#c34500","Pac-12"
"11",10,"Arkansas State",2015,"Blake Anderson",9,"408.08","#e81018","Sun Belt"
"12",11,"Arkansas State",2016,"Blake Anderson",8,"471.45","#e81018","Sun Belt"
"13",12,"Arkansas State",2017,"Blake Anderson",7,"436.05","#e81018","Sun Belt"
"14",13,"Arkansas State",2018,"Blake Anderson",8,"433.73","#e81018","Sun Belt"
"15",14,"Arkansas State",2019,"Blake Anderson",8,"447.87","#e81018","Sun Belt"
"16",15,"Bowling Green",2015,"Dino Babers",10,"433.59","#2b1000","Mid-American"
"17",16,"Bowling Green",2016,"Mike Jinks",4,"392.66","#2b1000","Mid-American"
"18",17,"Bowling Green",2017,"Mike Jinks",2,"361.82","#2b1000","Mid-American"
"19",18,"Bowling Green",2018,"Mike Jinks, Carl Pelini",3,"375.14","#2b1000","Mid-American"
"20",19,"Bowling Green",2019,"Scot Loeffler",3,"315.44","#2b1000","Mid-American"
"21",20,"Rice",2015,"David Bailiff",5,"399.58","#003D7D","Conference USA"
"22",21,"Rice",2016,"David Bailiff",3,"394.83","#003D7D","Conference USA"
"23",22,"Rice",2017,"David Bailiff",1,"345.79","#003D7D","Conference USA"
"24",23,"Rice",2018,"Mike Bloomgren",2,"375.12","#003D7D","Conference USA"
"25",24,"Rice",2019,"Mike Bloomgren",3,"397.04","#003D7D","Conference USA"
"26",25,"Virginia Tech",2015,"Frank Beamer",7,"658.38","#74232D","ACC"
"27",26,"Virginia Tech",2016,"Justin Fuente",10,"646.82","#74232D","ACC"
"28",27,"Virginia Tech",2017,"Justin Fuente",9,"662.18","#74232D","ACC"
"29",28,"Virginia Tech",2018,"Justin Fuente",6,"675.71","#74232D","ACC"
"30",29,"Virginia Tech",2019,"Justin Fuente",8,"696.39","#74232D","ACC"
"31",30,"Kansas",2015,"David Beaty",0,"499.97","#0022B4","Big 12"
"32",31,"Kansas",2016,"David Beaty",2,"491.00","#0022B4","Big 12"
"33",32,"Kansas",2017,"David Beaty",1,"512.24","#0022B4","Big 12"
"34",33,"Kansas",2018,"David Beaty",3,"517.10","#0022B4","Big 12"
"35",34,"Kansas",2019,"Les Miles",3,"528.62","#0022B4","Big 12"
"36",35,"Arkansas",2015,"Bret Bielema",8,"695.04","#9c1831","SEC"
"37",36,"Arkansas",2016,"Bret Bielema",7,"689.41","#9c1831","SEC"
"38",37,"Arkansas",2017,"Bret Bielema",4,"717.01","#9c1831","SEC"
"39",38,"Arkansas",2018,"Chad Morris",2,"694.63","#9c1831","SEC"
"40",39,"Arkansas",2019,"Barry Lunney Jr., Chad Morris",2,"707.72","#9c1831","SEC"
"41",40,"Colorado State",2015,"Mike Bobo",7,"389.10","#004537","Mountain West"
"42",41,"Colorado State",2016,"Mike Bobo",7,"412.28","#004537","Mountain West"
"43",42,"Colorado State",2017,"Mike Bobo",7,"441.98","#004537","Mountain West"
"44",43,"Colorado State",2018,"Mike Bobo",3,"479.97","#004537","Mountain West"
"45",44,"Colorado State",2019,"Mike Bobo",4,"518.83","#004537","Mountain West"
"46",45,"Wyoming",2015,"Craig Bohl",2,"314.72","#533B22","Mountain West"
"47",46,"Wyoming",2016,"Craig Bohl",8,"316.18","#533B22","Mountain West"
"48",47,"Wyoming",2017,"Craig Bohl",8,"277.07","#533B22","Mountain West"
"49",48,"Wyoming",2018,"Craig Bohl",6,"348.34","#533B22","Mountain West"
"50",49,"Wyoming",2019,"Craig Bohl",8,"397.90","#533B22","Mountain West"
"51",50,"Central Michigan",2015,"John Bonamego",7,"376.81","#6a0032","Mid-American"
"52",51,"Central Michigan",2016,"John Bonamego",6,"391.81","#6a0032","Mid-American"
"53",52,"Central Michigan",2017,"John Bonamego",8,"387.20","#6a0032","Mid-American"
"54",53,"Central Michigan",2018,"John Bonamego",1,"413.60","#6a0032","Mid-American"
"55",54,"Central Michigan",2019,"Jim McElwain",8,"416.63","#6a0032","Mid-American"
"56",55,"Akron",2015,"Terry Bowden",8,"412.65","#00285e","Mid-American"
"57",56,"Akron",2016,"Terry Bowden",5,"443.73","#00285e","Mid-American"
"58",57,"Akron",2017,"Terry Bowden",7,"337.11","#00285e","Mid-American"
"59",58,"Akron",2018,"Terry Bowden",4,"361.00","#00285e","Mid-American"
"60",59,"Akron",2019,"Tom Arth",0,"312.81","#00285e","Mid-American"
"61",60,"Baylor",2015,"Art Briles",10,"660.35","#004834","Big 12"
"62",61,"Baylor",2016,"Jim Grobe",7,"619.18","#004834","Big 12"
"63",62,"Baylor",2017,"Matt Rhule",1,"657.22","#004834","Big 12"
"64",63,"Baylor",2018,"Matt Rhule",7,"668.37","#004834","Big 12"
"65",64,"Baylor",2019,"Matt Rhule",11,"668.90","#004834","Big 12"
"66",65,"Western Kentucky",2015,"Jeff Brohm",12,"353.50","#F32026","Conference USA"
"67",66,"Western Kentucky",2016,"Jeff Brohm",10,"401.82","#F32026","Conference USA"
"68",67,"Western Kentucky",2017,"Mike Sanford",6,"332.17","#F32026","Conference USA"
"69",68,"Western Kentucky",2018,"Bobby Petrino, Mike Sanford",5,"353.43","#F32026","Conference USA"
"70",69,"Western Kentucky",2019,"Tyson Helton",9,"486.97","#F32026","Conference USA"
"71",70,"Troy",2015,"Neal Brown",4,"335.43","#AE0210","Sun Belt"
"72",71,"Troy",2016,"Neal Brown",10,"390.47","#AE0210","Sun Belt"
"73",72,"Troy",2017,"Neal Brown",11,"352.10","#AE0210","Sun Belt"
"74",73,"Troy",2018,"Neal Brown",10,"352.36","#AE0210","Sun Belt"
"75",74,"Troy",2019,"Chip Lindsey",5,"388.67","#AE0210","Sun Belt"
"76",75,"Air Force",2015,"Troy Calhoun",8,"70.95","#004a7b","Mountain West"
"77",76,"Air Force",2016,"Troy Calhoun",10,"44.58","#004a7b","Mountain West"
"78",77,"Air Force",2017,"Troy Calhoun",5,"21.10","#004a7b","Mountain West"
"79",78,"Air Force",2018,"Troy Calhoun",5,"186.27","#004a7b","Mountain West"
"80",79,"Air Force",2019,"Troy Calhoun",11,"151.86","#004a7b","Mountain West"
"81",80,"Toledo",2015,"Matt Campbell, Jason Candle",10,"429.03","#00488F","Mid-American"
"82",81,"Toledo",2016,"Jason Candle",9,"460.86","#00488F","Mid-American"
"83",82,"Toledo",2017,"Jason Candle",11,"366.47","#00488F","Mid-American"
"84",83,"Toledo",2018,"Jason Candle",7,"463.96","#00488F","Mid-American"
"85",84,"Toledo",2019,"Jason Candle",6,"451.43","#00488F","Mid-American"
"86",85,"Northern Illinois",2015,"Rod Carey",8,"380.69","#F1122C","Mid-American"
"87",86,"Northern Illinois",2016,"Rod Carey",5,"403.27","#F1122C","Mid-American"
"88",87,"Northern Illinois",2017,"Rod Carey",8,"373.99","#F1122C","Mid-American"
"89",88,"Northern Illinois",2018,"Rod Carey",8,"432.31","#F1122C","Mid-American"
"90",89,"Northern Illinois",2019,"Thomas Hammock",5,"397.98","#F1122C","Mid-American"
"91",90,"Wisconsin",2015,"Paul Chryst",10,"635.77","#A00001","Big Ten"
"92",91,"Wisconsin",2016,"Paul Chryst",11,"643.76","#A00001","Big Ten"
"93",92,"Wisconsin",2017,"Paul Chryst",13,"639.76","#A00001","Big Ten"
"94",93,"Wisconsin",2018,"Paul Chryst",8,"653.50","#A00001","Big Ten"
"95",94,"Wisconsin",2019,"Paul Chryst",10,"675.80","#A00001","Big Ten"
"96",95,"Wake Forest",2015,"Dave Clawson",3,"497.48","#9E7E38","ACC"
"97",96,"Wake Forest",2016,"Dave Clawson",7,"517.63","#9E7E38","ACC"
"98",97,"Wake Forest",2017,"Dave Clawson",8,"527.21","#9E7E38","ACC"
"99",98,"Wake Forest",2018,"Dave Clawson",7,"525.48","#9E7E38","ACC"
"100",99,"Wake Forest",2019,"Dave Clawson",8,"563.24","#9E7E38","ACC"
"101",100,"UT San Antonio",2015,"Larry Coker",3,"356.37","#002A5C","Conference USA"
"102",101,"UT San Antonio",2016,"Frank Wilson",6,"397.64","#002A5C","Conference USA"
"103",102,"UT San Antonio",2017,"Frank Wilson",6,"291.62","#002A5C","Conference USA"
"104",103,"UT San Antonio",2018,"Frank Wilson",3,"405.20","#002A5C","Conference USA"
"105",104,"UT San Antonio",2019,"Frank Wilson",4,"471.36","#002A5C","Conference USA"
"106",105,"Eastern Michigan",2015,"Chris Creighton",1,"341.36","#00331b","Mid-American"
"107",106,"Eastern Michigan",2016,"Chris Creighton",7,"347.70","#00331b","Mid-American"
"108",107,"Eastern Michigan",2017,"Chris Creighton",5,"292.11","#00331b","Mid-American"
"109",108,"Eastern Michigan",2018,"Chris Creighton",7,"344.06","#00331b","Mid-American"
"110",109,"Eastern Michigan",2019,"Chris Creighton",6,"317.49","#00331b","Mid-American"
"111",110,"Illinois",2015,"Bill Cubit",5,"530.96","#f77329","Big Ten"
"112",111,"Illinois",2016,"Lovie Smith",3,"523.91","#f77329","Big Ten"
"113",112,"Illinois",2017,"Lovie Smith",2,"538.83","#f77329","Big Ten"
"114",113,"Illinois",2018,"Lovie Smith",4,"562.67","#f77329","Big Ten"
"115",114,"Illinois",2019,"Lovie Smith",6,"661.73","#f77329","Big Ten"
"116",115,"Duke",2015,"David Cutcliffe",8,"563.19","#001A57","ACC"
"117",116,"Duke",2016,"David Cutcliffe",4,"599.82","#001A57","ACC"
"118",117,"Duke",2017,"David Cutcliffe",7,"627.62","#001A57","ACC"
"119",118,"Duke",2018,"David Cutcliffe",8,"635.63","#001A57","ACC"
"120",119,"Duke",2019,"David Cutcliffe",5,"633.24","#001A57","ACC"
"121",120,"Michigan State",2015,"Mark Dantonio",12,"715.30","#18453B","Big Ten"
"122",121,"Michigan State",2016,"Mark Dantonio",3,"719.70","#18453B","Big Ten"
"123",122,"Michigan State",2017,"Mark Dantonio",10,"680.94","#18453B","Big Ten"
"124",123,"Michigan State",2018,"Mark Dantonio",7,"658.85","#18453B","Big Ten"
"125",124,"Michigan State",2019,"Mark Dantonio",7,"688.74","#18453B","Big Ten"
"126",125,"New Mexico",2015,"Bob Davie",7,"341.72","#000000","Mountain West"
"127",126,"New Mexico",2016,"Bob Davie",9,"387.26","#000000","Mountain West"
"128",127,"New Mexico",2017,"Bob Davie",3,"344.64","#000000","Mountain West"
"129",128,"New Mexico",2018,"Bob Davie",3,"411.95","#000000","Mountain West"
"130",129,"New Mexico",2019,"Bob Davie",2,"401.90","#000000","Mountain West"
"131",130,"NC State",2015,"Dave Doeren",7,"610.33","#EF1216","ACC"
"132",131,"NC State",2016,"Dave Doeren",7,"616.29","#EF1216","ACC"
"133",132,"NC State",2017,"Dave Doeren",9,"609.76","#EF1216","ACC"
"134",133,"NC State",2018,"Dave Doeren",9,"629.39","#EF1216","ACC"
"135",134,"NC State",2019,"Dave Doeren",4,"668.85","#EF1216","ACC"
"136",135,"Maryland",2015,"Randy Edsall",2,"603.76","#D5002B","Big Ten"
"137",136,"Maryland",2016,"D.J. Durkin",6,"651.99","#D5002B","Big Ten"
"138",137,"Maryland",2017,"D.J. Durkin",4,"696.21","#D5002B","Big Ten"
"139",138,"Maryland",2018,"Matt Canada, Randy Edsall",6,"725.94","#D5002B","Big Ten"
"140",139,"Maryland",2019,"Randy Edsall, Mike Locksley",5,"703.94","#D5002B","Big Ten"
"141",140,"South Carolina",2015,"Shawn Elliott, Steve Spurrier",3,"725.72","#670010","SEC"
"142",141,"South Carolina",2016,"Will Muschamp",6,"706.90","#670010","SEC"
"143",142,"South Carolina",2017,"Will Muschamp",9,"702.52","#670010","SEC"
"144",143,"South Carolina",2018,"Will Muschamp",7,"749.98","#670010","SEC"
"145",144,"South Carolina",2019,"Will Muschamp",4,"762.68","#670010","SEC"
"146",145,"North Carolina",2015,"Larry Fedora",11,"683.03","#99bfe5","ACC"
"147",146,"North Carolina",2016,"Larry Fedora",8,"669.61","#99bfe5","ACC"
"148",147,"North Carolina",2017,"Larry Fedora",3,"697.54","#99bfe5","ACC"
"149",148,"North Carolina",2018,"Larry Fedora",2,"688.48","#99bfe5","ACC"
"150",149,"North Carolina",2019,"Mack Brown",7,"697.75","#99bfe5","ACC"
"151",150,"Iowa",2015,"Kirk Ferentz",12,"573.06","#000000","Big Ten"
"152",151,"Iowa",2016,"Kirk Ferentz",8,"558.73","#000000","Big Ten"
"153",152,"Iowa",2017,"Kirk Ferentz",8,"592.95","#000000","Big Ten"
"154",153,"Iowa",2018,"Kirk Ferentz",9,"615.08","#000000","Big Ten"
"155",154,"Iowa",2019,"Kirk Ferentz",10,"637.65","#000000","Big Ten"
"156",155,"Florida State",2015,"Jimbo Fisher",10,"889.92","#782F40","ACC"
"157",156,"Florida State",2016,"Jimbo Fisher",10,"906.64","#782F40","ACC"
"158",157,"Florida State",2017,"Jimbo Fisher, Odell Haggins",7,"924.97","#782F40","ACC"
"159",158,"Florida State",2018,"Willie Taggart",5,"888.75","#782F40","ACC"
"160",159,"Florida State",2019,"Odell Haggins, Willie Taggart",6,"878.07","#782F40","ACC"
"161",160,"Northwestern",2015,"Pat Fitzgerald",10,"595.75","#372286","Big Ten"
"162",161,"Northwestern",2016,"Pat Fitzgerald",7,"613.55","#372286","Big Ten"
"163",162,"Northwestern",2017,"Pat Fitzgerald",10,"627.54","#372286","Big Ten"
"164",163,"Northwestern",2018,"Pat Fitzgerald",9,"608.89","#372286","Big Ten"
"165",164,"Northwestern",2019,"Pat Fitzgerald",3,"612.62","#372286","Big Ten"
"166",165,"Western Michigan",2015,"P.J. Fleck",8,"442.13","#B59966","Mid-American"
"167",166,"Western Michigan",2016,"P.J. Fleck",13,"443.16","#B59966","Mid-American"
"168",167,"Western Michigan",2017,"Tim Lester",6,"414.35","#B59966","Mid-American"
"169",168,"Western Michigan",2018,"Tim Lester",7,"442.29","#B59966","Mid-American"
"170",169,"Western Michigan",2019,"Tim Lester",7,"452.05","#B59966","Mid-American"
"171",170,"Texas State",2015,"Dennis Franchione",3,"360.49","#4e1719","Sun Belt"
"172",171,"Texas State",2016,"Everett Withers",2,"351.76","#4e1719","Sun Belt"
"173",172,"Texas State",2017,"Everett Withers",2,"274.67","#4e1719","Sun Belt"
"174",173,"Texas State",2018,"Everett Withers, Chris Woods",3,"302.55","#4e1719","Sun Belt"
"175",174,"Texas State",2019,"Jake Spavital",3,"348.47","#4e1719","Sun Belt"
"176",175,"Penn State",2015,"James Franklin",7,"732.36","#00265D","Big Ten"
"177",176,"Penn State",2016,"James Franklin",11,"742.52","#00265D","Big Ten"
"178",177,"Penn State",2017,"James Franklin",11,"779.26","#00265D","Big Ten"
"179",178,"Penn State",2018,"James Franklin",9,"834.24","#00265D","Big Ten"
"180",179,"Penn State",2019,"James Franklin",11,"857.34","#00265D","Big Ten"
"181",180,"Georgia Southern",2015,"Willie Fritz",9,"391.18","#003775","Sun Belt"
"182",181,"Georgia Southern",2016,"Tyson Summers",5,"435.33","#003775","Sun Belt"
"183",182,"Georgia Southern",2017,"Chad Lunsford, Tyson Summers",2,"365.57","#003775","Sun Belt"
"184",183,"Georgia Southern",2018,"Chad Lunsford",10,"303.12","#003775","Sun Belt"
"185",184,"Georgia Southern",2019,"Chad Lunsford",7,"411.80","#003775","Sun Belt"
"186",185,"Memphis",2015,"Justin Fuente",9,"381.80","#002447","American Athletic"
"187",186,"Memphis",2016,"Mike Norvell",8,"451.24","#002447","American Athletic"
"188",187,"Memphis",2017,"Mike Norvell",10,"504.49","#002447","American Athletic"
"189",188,"Memphis",2018,"Mike Norvell",8,"480.07","#002447","American Athletic"
"190",189,"Memphis",2019,"Mike Norvell",12,"551.97","#002447","American Athletic"
"191",190,"Miami",2015,"Al Golden",4,"773.23","#004325","ACC"
"192",191,"Miami",2016,"Mark Richt",9,"745.93","#004325","ACC"
"193",192,"Miami",2017,"Mark Richt",10,"749.08","#004325","ACC"
"194",193,"Miami",2018,"Mark Richt",7,"753.72","#004325","ACC"
"195",194,"Miami",2019,"Manny Diaz",6,"815.12","#004325","ACC"
"196",195,"Arizona State",2015,"Todd Graham",6,"680.87","#942139","Pac-12"
"197",196,"Arizona State",2016,"Todd Graham",5,"694.21","#942139","Pac-12"
"198",197,"Arizona State",2017,"Todd Graham",7,"720.44","#942139","Pac-12"
"199",NA,"Arizona State",2018,"Herman Edwards",7,"687.72","#942139","Pac-12"
"200",198,"Arizona State",2019,"Herman Edwards",8,"686.44","#942139","Pac-12"
"201",199,"Oklahoma State",2015,"Mike Gundy",10,"651.83","#FF6500","Big 12"
"202",200,"Oklahoma State",2016,"Mike Gundy",10,"631.68","#FF6500","Big 12"
"203",201,"Oklahoma State",2017,"Mike Gundy",10,"633.57","#FF6500","Big 12"
"204",202,"Oklahoma State",2018,"Mike Gundy",7,"645.01","#FF6500","Big 12"
"205",203,"Oklahoma State",2019,"Mike Gundy",8,"644.42","#FF6500","Big 12"
"206",204,"Michigan",2015,"Jim Harbaugh",10,"851.12","#00274c","Big Ten"
